participantId,trialId,condition,correctness,duration_seconds
66962f162372082a3647f572,Tennis-Text-Q1,Text,87.5,229.265
669eb09f44fd00f288eb8eb6,Covid-Vis-Q1,VIS,100.0,66.17999999999999
669eb09f44fd00f288eb8eb6,Organizations-Text-Q1,Text,100.0,84.838
669eb09f44fd00f288eb8eb6,Tennis-Both-Q1,Both,87.5,47.876000000000005
66a51057a123a32824a9a9e0,Covid-Text-Q1,Text,100.0,273.258
66a51057a123a32824a9a9e0,Organizations-Both-Q1,Both,100.0,248.412
66a51057a123a32824a9a9e0,Tennis-Vis-Q1,VIS,25.0,206.555
66a90befd4b58c2cfb86e72a,Covid-Text-Q1,Text,87.5,189.84099999999998
66a90befd4b58c2cfb86e72a,Organizations-Vis-Q1,VIS,87.5,130.15300000000002
66a90befd4b58c2cfb86e72a,Tennis-Both-Q1,Both,75.0,212.01100000000002
66ade2c28a85033cab570717,Covid-Vis-Q1,VIS,100.0,108.91
66ade2c28a85033cab570717,Organizations-Both-Q1,Both,100.0,153.816
66ade2c28a85033cab570717,Tennis-Text-Q1,Text,100.0,109.1
66b544ce73d3561af98d76e1,Covid-Text-Q1,Text,100.0,166.867
66b544ce73d3561af98d76e1,Organizations-Both-Q1,Both,100.0,113.701
66b544ce73d3561af98d76e1,Tennis-Vis-Q1,VIS,87.5,102.69099999999999
66ba287d1cd394ac6c21a43c,Covid-Vis-Q1,VIS,100.0,44.255
66ba287d1cd394ac6c21a43c,Organizations-Both-Q1,Both,87.5,81.889
66ba287d1cd394ac6c21a43c,Tennis-Text-Q1,Text,87.5,75.52199999999999
66ba5f3894e5b3812210f9bb,Covid-Text-Q1,Text,87.5,112.925
66ba5f3894e5b3812210f9bb,Organizations-Both-Q1,Both,87.5,116.765
66ba5f3894e5b3812210f9bb,Tennis-Vis-Q1,VIS,87.5,76.734
66bcc667ba1619c089fecbbb,Covid-Both-Q1,Both,100.0,42.701
66bcc667ba1619c089fecbbb,Organizations-Vis-Q1,VIS,100.0,74.306
66bcc667ba1619c089fecbbb,Tennis-Text-Q1,Text,100.0,60.888
66bce91186a8da8151c30f61,Covid-Text-Q1,Text,87.5,185.39000000000001
66bce91186a8da8151c30f61,Organizations-Vis-Q1,VIS,100.0,304.096
66bce91186a8da8151c30f61,Tennis-Both-Q1,Both,87.5,122.34499999999998
66becf77a87578f124f8a036,Covid-Vis-Q1,VIS,100.0,58.918
66becf77a87578f124f8a036,Organizations-Text-Q1,Text,100.0,148.397
66becf77a87578f124f8a036,Tennis-Both-Q1,Both,87.5,70.054
66bff58ff2d1a5f273431584,Covid-Text-Q1,Text,100.0,81.951
66bff58ff2d1a5f273431584,Organizations-Both-Q1,Both,100.0,110.97
66bff58ff2d1a5f273431584,Tennis-Vis-Q1,VIS,87.5,53.408
66c4d2c2713b223511e4e676,Covid-Vis-Q1,VIS,87.5,41.541000000000004
66c4d2c2713b223511e4e676,Organizations-Both-Q1,Both,75.0,123.213
66c4d2c2713b223511e4e676,Tennis-Text-Q1,Text,100.0,89.293
66c4dee716f98496f9638591,Covid-Vis-Q1,VIS,87.5,45.388
66c4dee716f98496f9638591,Organizations-Text-Q1,Text,100.0,78.049
66c4dee716f98496f9638591,Tennis-Both-Q1,Both,87.5,50.446
66c535b047ab0893183e06d8,Covid-Text-Q1,Text,87.5,241.598
66c535b047ab0893183e06d8,Organizations-Vis-Q1,VIS,87.5,379.578
66c535b047ab0893183e06d8,Tennis-Both-Q1,Both,87.5,140.661
66c5d1accc092f147f94b363,Covid-Both-Q1,Both,100.0,69.955
66c5d1accc092f147f94b363,Organizations-Text-Q1,Text,100.0,108.422
66c5d1accc092f147f94b363,Tennis-Vis-Q1,VIS,87.5,35.402
66c5f3b24507c79830b451a7,Covid-Vis-Q1,VIS,100.0,88.038
66c5f3b24507c79830b451a7,Organizations-Both-Q1,Both,100.0,55.024
66c5f3b24507c79830b451a7,Tennis-Text-Q1,Text,87.5,69.363
66c5feea08e0368a0da64d38,Covid-Vis-Q1,VIS,75.0,99.692
66c5feea08e0368a0da64d38,Organizations-Text-Q1,Text,100.0,257.5
66c5feea08e0368a0da64d38,Tennis-Both-Q1,Both,75.0,226.03900000000002
66ccc8f8819490330c532373,Covid-Both-Q1,Both,100.0,80.209
66ccc8f8819490330c532373,Organizations-Vis-Q1,VIS,87.5,182.144
66ccc8f8819490330c532373,Tennis-Text-Q1,Text,87.5,220.43800000000002
66cdd1ad42828e8da522ddb1,Covid-Text-Q1,Text,100.0,324.053
66cdd1ad42828e8da522ddb1,Organizations-Both-Q1,Both,100.0,235.952
66cdd1ad42828e8da522ddb1,Tennis-Vis-Q1,VIS,87.5,394.342
66ce0e269e0d2cd124df4887,Covid-Both-Q1,Both,100.0,57.676
66ce0e269e0d2cd124df4887,Organizations-Vis-Q1,VIS,100.0,91.501
66ce0e269e0d2cd124df4887,Tennis-Text-Q1,Text,100.0,161.28199999999998
